    Hinst Name                                       Module Name                Inst Count           Total Area
------------------------------------------------------------------------------------------------------------
r29_int4                                                                              2051             8087.916
  counter_inst_21__u_counter_asyn/reg_gen_2__u_dreg  dreg_125                            2               11.732
  counter_inst_21__u_counter_asyn/reg_gen_3__u_dreg  dreg_124                            2               11.732
  counter_inst_21__u_counter_asyn/reg_gen_4__u_dreg  dreg_123                            2               11.732
  counter_inst_21__u_counter_asyn/reg_gen_5__u_dreg  dreg_122                            2               11.732
  counter_inst_21__u_counter_asyn/reg_gen_6__u_dreg  dreg_121                            2               11.732
  counter_inst_21__u_counter_asyn/reg_gen_7__u_dreg  dreg_120                            2               11.732
  counter_inst_21__u_counter_asyn/reg_gen_8__u_dreg  dreg_119                            2               11.732
  counter_inst_21__u_counter_asyn/reg_gen_9__u_dreg  dreg_118                            2               11.732
 counter_inst_22__u_counter_asyn                     counter_asyn_REG_SIZE16_6          48              225.264
  counter_inst_22__u_counter_asyn/reg_gen_0__u_dreg  dreg_111                            2               11.732
  counter_inst_22__u_counter_asyn/reg_gen_10__u_dreg dreg_101                            2               11.732
  counter_inst_22__u_counter_asyn/reg_gen_11__u_dreg dreg_100                            2               11.732
  counter_inst_22__u_counter_asyn/reg_gen_12__u_dreg dreg_99                             2               11.732
  counter_inst_22__u_counter_asyn/reg_gen_13__u_dreg dreg_98                             2               11.732
  counter_inst_22__u_counter_asyn/reg_gen_14__u_dreg dreg_97                             2               11.732
  counter_inst_22__u_counter_asyn/reg_gen_15__u_dreg dreg_96                             2               11.732
  counter_inst_22__u_counter_asyn/reg_gen_1__u_dreg  dreg_110                            2               11.732
  counter_inst_22__u_counter_asyn/reg_gen_2__u_dreg  dreg_109                            2               11.732
  counter_inst_22__u_counter_asyn/reg_gen_3__u_dreg  dreg_108                            2               11.732
  counter_inst_22__u_counter_asyn/reg_gen_4__u_dreg  dreg_107                            2               11.732
  counter_inst_22__u_counter_asyn/reg_gen_5__u_dreg  dreg_106                            2               11.732
  counter_inst_22__u_counter_asyn/reg_gen_6__u_dreg  dreg_105                            2               11.732
  counter_inst_22__u_counter_asyn/reg_gen_7__u_dreg  dreg_104                            2               11.732
  counter_inst_22__u_counter_asyn/reg_gen_8__u_dreg  dreg_103                            2               11.732
  counter_inst_22__u_counter_asyn/reg_gen_9__u_dreg  dreg_102                            2               11.732
 counter_inst_23__u_counter_asyn                     counter_asyn_REG_SIZE16_5          48              225.264
  counter_inst_23__u_counter_asyn/reg_gen_0__u_dreg  dreg_95                             2               11.732
  counter_inst_23__u_counter_asyn/reg_gen_10__u_dreg dreg_85                             2               11.732
  counter_inst_23__u_counter_asyn/reg_gen_11__u_dreg dreg_84                             2               11.732
  counter_inst_23__u_counter_asyn/reg_gen_12__u_dreg dreg_83                             2               11.732
  counter_inst_23__u_counter_asyn/reg_gen_13__u_dreg dreg_82                             2               11.732
  counter_inst_23__u_counter_asyn/reg_gen_14__u_dreg dreg_81                             2               11.732
  counter_inst_23__u_counter_asyn/reg_gen_15__u_dreg dreg_80                             2               11.732
  counter_inst_23__u_counter_asyn/reg_gen_1__u_dreg  dreg_94                             2               11.732
  counter_inst_23__u_counter_asyn/reg_gen_2__u_dreg  dreg_93                             2               11.732
  counter_inst_23__u_counter_asyn/reg_gen_3__u_dreg  dreg_92                             2               11.732
  counter_inst_23__u_counter_asyn/reg_gen_4__u_dreg  dreg_91                             2               11.732
  counter_inst_23__u_counter_asyn/reg_gen_5__u_dreg  dreg_90                             2               11.732
  counter_inst_23__u_counter_asyn/reg_gen_6__u_dreg  dreg_89                             2               11.732
  counter_inst_23__u_counter_asyn/reg_gen_7__u_dreg  dreg_88                             2               11.732
  counter_inst_23__u_counter_asyn/reg_gen_8__u_dreg  dreg_87                             2               11.732
  counter_inst_23__u_counter_asyn/reg_gen_9__u_dreg  dreg_86                             2               11.732
 counter_inst_24__u_counter_asyn                     counter_asyn_REG_SIZE16_4          48              225.264
  counter_inst_24__u_counter_asyn/reg_gen_0__u_dreg  dreg_79                             2               11.732
  counter_inst_24__u_counter_asyn/reg_gen_10__u_dreg dreg_69                             2               11.732
  counter_inst_24__u_counter_asyn/reg_gen_11__u_dreg dreg_68                             2               11.732
  counter_inst_24__u_counter_asyn/reg_gen_12__u_dreg dreg_67                             2               11.732
  counter_inst_24__u_counter_asyn/reg_gen_13__u_dreg dreg_66                             2               11.732
  counter_inst_24__u_counter_asyn/reg_gen_14__u_dreg dreg_65                             2               11.732
  counter_inst_24__u_counter_asyn/reg_gen_15__u_dreg dreg_64                             2               11.732
  counter_inst_24__u_counter_asyn/reg_gen_1__u_dreg  dreg_78                             2               11.732
  counter_inst_24__u_counter_asyn/reg_gen_2__u_dreg  dreg_77                             2               11.732
  counter_inst_24__u_counter_asyn/reg_gen_3__u_dreg  dreg_76                             2               11.732
  counter_inst_24__u_counter_asyn/reg_gen_4__u_dreg  dreg_75                             2               11.732
  counter_inst_24__u_counter_asyn/reg_gen_5__u_dreg  dreg_74                             2               11.732
  counter_inst_24__u_counter_asyn/reg_gen_6__u_dreg  dreg_73                             2               11.732
  counter_inst_24__u_counter_asyn/reg_gen_7__u_dreg  dreg_72                             2               11.732
  counter_inst_24__u_counter_asyn/reg_gen_8__u_dreg  dreg_71                             2               11.732
  counter_inst_24__u_counter_asyn/reg_gen_9__u_dreg  dreg_70                             2               11.732
 counter_inst_25__u_counter_asyn                     counter_asyn_REG_SIZE16_3          48              225.264
  counter_inst_25__u_counter_asyn/reg_gen_0__u_dreg  dreg_63                             2               11.732
  counter_inst_25__u_counter_asyn/reg_gen_10__u_dreg dreg_53                             2               11.732
  counter_inst_25__u_counter_asyn/reg_gen_11__u_dreg dreg_52                             2               11.732
  counter_inst_25__u_counter_asyn/reg_gen_12__u_dreg dreg_51                             2               11.732
  counter_inst_25__u_counter_asyn/reg_gen_13__u_dreg dreg_50                             2               11.732
  counter_inst_25__u_counter_asyn/reg_gen_14__u_dreg dreg_49                             2               11.732
  counter_inst_25__u_counter_asyn/reg_gen_15__u_dreg dreg_48                             2               11.732
  counter_inst_25__u_counter_asyn/reg_gen_1__u_dreg  dreg_62                             2               11.732
  counter_inst_25__u_counter_asyn/reg_gen_2__u_dreg  dreg_61                             2               11.732
  counter_inst_25__u_counter_asyn/reg_gen_3__u_dreg  dreg_60                             2               11.732
  counter_inst_25__u_counter_asyn/reg_gen_4__u_dreg  dreg_59                             2               11.732
  counter_inst_25__u_counter_asyn/reg_gen_5__u_dreg  dreg_58                             2               11.732
  counter_inst_25__u_counter_asyn/reg_gen_6__u_dreg  dreg_57                             2               11.732
  counter_inst_25__u_counter_asyn/reg_gen_7__u_dreg  dreg_56                             2               11.732
  counter_inst_25__u_counter_asyn/reg_gen_8__u_dreg  dreg_55                             2               11.732
  counter_inst_25__u_counter_asyn/reg_gen_9__u_dreg  dreg_54                             2               11.732
 counter_inst_26__u_counter_asyn                     counter_asyn_REG_SIZE16_2          48              225.264
